283,269,256,244,233,224,215,209,204,201,200,201,204,209,215,224,233,244,256,269,283
269,255,241,228,216,206,197,190,184,181,180,181,184,190,197,206,216,228,241,255,269
256,241,226,213,200,189,179,171,165,161,160,161,165,171,179,189,200,213,226,241,256
244,228,213,198,184,172,161,152,146,141,140,141,146,152,161,172,184,198,213,228,244
233,216,200,184,170,156,144,134,126,122,120,122,126,134,144,156,170,184,200,216,233
224,206,189,172,156,141,128,117,108,102,100,102,108,117,128,141,156,172,189,206,224
215,197,179,161,144,128,113,100,89,82,80,82,89,100,113,128,144,161,179,197,215
209,190,171,152,134,117,100,85,72,63,60,63,72,85,100,117,134,152,171,190,209
204,184,165,146,126,108,89,72,57,45,40,45,57,72,89,108,126,146,165,184,204
201,181,161,141,122,102,82,63,45,28,20,28,45,63,82,102,122,141,161,181,201
200,180,160,140,120,100,80,60,40,20,0,20,40,60,80,100,120,140,160,180,200
201,181,161,141,122,102,82,63,45,28,20,28,45,63,82,102,122,141,161,181,201
204,184,165,146,126,108,89,72,57,45,40,45,57,72,89,108,126,146,165,184,204
209,190,171,152,134,117,100,85,72,63,60,63,72,85,100,117,134,152,171,190,209
215,197,179,161,144,128,113,100,89,82,80,82,89,100,113,128,144,161,179,197,215
224,206,189,172,156,141,128,117,108,102,100,102,108,117,128,141,156,172,189,206,224
233,216,200,184,170,156,144,134,126,122,120,122,126,134,144,156,170,184,200,216,233
244,228,213,198,184,172,161,152,146,141,140,141,146,152,161,172,184,198,213,228,244
256,241,226,213,200,189,179,171,165,161,160,161,165,171,179,189,200,213,226,241,256
269,255,241,228,216,206,197,190,184,181,180,181,184,190,197,206,216,228,241,255,269
283,269,256,244,233,224,215,209,204,201,200,201,204,209,215,224,233,244,256,269,283
